Date	Time	Severity	PID	TID	Function	Message
21-05-2025	16:17:23.470	 INFO	 48848	 43424	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 516782421
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
21-05-2025	16:17:23.472	 INFO	 48848	 43424	LateInitialization	"Intialization finished"
26-05-2025	15:42:31.452	 INFO	 48396	 65888	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
26-05-2025	15:42:31.459	 INFO	 48396	 65888	DllMain	"PROCESS ATTACHED"
26-05-2025	15:42:31.462	 INFO	 48396	 67012	LateInitialization	"Intialization..."
26-05-2025	15:42:31.465	 INFO	 48396	 67012	LoadDisplayDevicesName	"DisplayDevices : "
26-05-2025	15:42:31.468	 INFO	 48396	 67012	LoadDisplayDevicesName	"\\.\DISPLAY1"
26-05-2025	15:42:31.471	 INFO	 48396	 67012	LoadDisplayDevicesName	"\\.\DISPLAY2"
26-05-2025	15:42:31.473	 INFO	 48396	 67012	LoadDisplayDevicesName	"\\.\DISPLAY3"
26-05-2025	15:42:31.476	 INFO	 48396	 67012	LoadDisplayDevicesName	"\\.\DISPLAY4"
26-05-2025	15:42:31.491	ERROR	 48396	 67012	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
26-05-2025	15:42:31.493	 INFO	 48396	 67012	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 946692234
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
26-05-2025	15:42:31.496	 INFO	 48396	 67012	LateInitialization	"Intialization finished"
29-05-2025	15:51:52.964	 INFO	 27068	 21728	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
29-05-2025	15:51:52.971	 INFO	 27068	 21728	DllMain	"PROCESS ATTACHED"
29-05-2025	15:51:52.974	 INFO	 27068	 10308	LateInitialization	"Intialization..."
29-05-2025	15:51:52.977	 INFO	 27068	 10308	LoadDisplayDevicesName	"DisplayDevices : "
29-05-2025	15:51:52.981	 INFO	 27068	 10308	LoadDisplayDevicesName	"\\.\DISPLAY1"
29-05-2025	15:51:52.985	 INFO	 27068	 10308	LoadDisplayDevicesName	"\\.\DISPLAY2"
29-05-2025	15:51:52.987	 INFO	 27068	 10308	LoadDisplayDevicesName	"\\.\DISPLAY3"
29-05-2025	15:51:52.990	 INFO	 27068	 10308	LoadDisplayDevicesName	"\\.\DISPLAY4"
29-05-2025	15:51:52.995	ERROR	 27068	 10308	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
29-05-2025	15:51:52.998	 INFO	 27068	 10308	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 10321843
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
29-05-2025	15:51:53.002	 INFO	 27068	 10308	LateInitialization	"Intialization finished"
03-06-2025	17:15:23.042	 INFO	 52736	 27188	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
03-06-2025	17:15:23.048	 INFO	 52736	 27188	DllMain	"PROCESS ATTACHED"
03-06-2025	17:15:23.051	 INFO	 52736	 55112	LateInitialization	"Intialization..."
03-06-2025	17:15:23.053	 INFO	 52736	 55112	LoadDisplayDevicesName	"DisplayDevices : "
03-06-2025	17:15:23.055	 INFO	 52736	 55112	LoadDisplayDevicesName	"\\.\DISPLAY1"
03-06-2025	17:15:23.057	 INFO	 52736	 55112	LoadDisplayDevicesName	"\\.\DISPLAY2"
03-06-2025	17:15:23.059	 INFO	 52736	 55112	LoadDisplayDevicesName	"\\.\DISPLAY3"
03-06-2025	17:15:23.061	 INFO	 52736	 55112	LoadDisplayDevicesName	"\\.\DISPLAY4"
03-06-2025	17:15:23.066	ERROR	 52736	 55112	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
03-06-2025	17:15:23.069	 INFO	 52736	 55112	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 447343031
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
03-06-2025	17:15:23.071	 INFO	 52736	 55112	LateInitialization	"Intialization finished"
09-06-2025	16:50:02.086	 INFO	 83384	 77324	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
09-06-2025	16:50:02.093	 INFO	 83384	 77324	DllMain	"PROCESS ATTACHED"
09-06-2025	16:50:02.095	 INFO	 83384	 85744	LateInitialization	"Intialization..."
09-06-2025	16:50:02.098	 INFO	 83384	 85744	LoadDisplayDevicesName	"DisplayDevices : "
09-06-2025	16:50:02.103	 INFO	 83384	 85744	LoadDisplayDevicesName	"\\.\DISPLAY1"
09-06-2025	16:50:02.105	 INFO	 83384	 85744	LoadDisplayDevicesName	"\\.\DISPLAY2"
09-06-2025	16:50:02.108	 INFO	 83384	 85744	LoadDisplayDevicesName	"\\.\DISPLAY3"
09-06-2025	16:50:02.110	 INFO	 83384	 85744	LoadDisplayDevicesName	"\\.\DISPLAY4"
09-06-2025	16:50:02.116	ERROR	 83384	 85744	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
09-06-2025	16:50:02.119	 INFO	 83384	 85744	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 964235187
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
09-06-2025	16:50:02.124	 INFO	 83384	 85744	LateInitialization	"Intialization finished"
10-06-2025	11:19:06.717	 INFO	 64780	 79288	DllMain	"DLL_PROCESS_ATTACH Thu Jan  2 23:38:14 2025 11.3.2440.11"
10-06-2025	11:19:06.724	 INFO	 64780	 79288	DllMain	"PROCESS ATTACHED"
10-06-2025	11:19:06.726	 INFO	 64780	 64256	LateInitialization	"Intialization..."
10-06-2025	11:19:06.728	 INFO	 64780	 64256	LoadDisplayDevicesName	"DisplayDevices : "
10-06-2025	11:19:06.731	 INFO	 64780	 64256	LoadDisplayDevicesName	"\\.\DISPLAY1"
10-06-2025	11:19:06.734	 INFO	 64780	 64256	LoadDisplayDevicesName	"\\.\DISPLAY2"
10-06-2025	11:19:06.736	 INFO	 64780	 64256	LoadDisplayDevicesName	"\\.\DISPLAY3"
10-06-2025	11:19:06.739	 INFO	 64780	 64256	LoadDisplayDevicesName	"\\.\DISPLAY4"
10-06-2025	11:19:06.744	ERROR	 64780	 64256	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
10-06-2025	11:19:06.746	 INFO	 64780	 64256	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 1030779812
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
10-06-2025	11:19:06.748	 INFO	 64780	 64256	LateInitialization	"Intialization finished"
